township_name:taf,township_name:mm,township_pcode,score,sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub8,sub9,sub10
Dawei,ထားဝယ်,MMR006001,63.23939896,5.96,7.93,6.54,8.62,6.3,4.78,6.61,6.47,6.17,5.22
Kawt Thaung,ကော့သောင်း,MMR006009,65.19328308,5.94,8.09,6.94,9.01,6.33,3.64,6.85,6.37,6.54,5.62
Myeik,မြိတ်,MMR006005,64.03574371,6.56,8.74,6.44,7.3,5.07,3.2,6.56,7,6.21,5.7
Bago,ပဲခူး,MMR007001,56.24845123,4.75,6.77,6.54,6.43,6.44,3.92,6.04,6.06,5.6,4.71
Okktwin,အုတ်တွင်း,MMR007013,63.1803627,5.41,8.67,7.54,6.78,5.54,4.23,6.03,6.38,6.24,6.05
Phyu,ဖြူး,MMR007012,64.05486298,5.32,6.44,7.18,8.6,5.36,5.34,6.51,6.63,6.75,5.14
Magway,မကွေး,MMR009001,60.4509964,5.47,7.13,7.34,7.76,6.04,3.98,6.12,6.26,6.37,4.4
Pakokeku,ပခုက္ကူ,MMR009018,63.60749435,7.61,6.3,7.75,8.46,6.3,4.03,6.81,5.88,5.9,5.19
Taung Gwin Gyi,တောင်တွင်းကြီး,MMR009004,59.26774979,4.97,6.35,7.5,5.3,6.21,3.23,6.51,6.39,7.08,4.5
Chan Mya Tharzi,ချမ်းမြသာစည်,MMR010004,61.59840012,5.62,6.38,7.07,7.68,7.95,3.78,5.97,6.47,6.63,4.51
Myinchan,မြင်းခြံ,MMR010017,61.03826523,7.34,6.98,7.38,7.58,5.94,3.74,5.95,5.66,5.88,5.01
Pyinoolwin,ပြင်ဦးလွင်,MMR010008,63.80513,6.31,5.48,7.34,7.89,7.49,3.92,6,6.79,6.72,4.76
Kyauk Padaung,ကျောက်ပန်းတောင်း,MMR010020,61.0928688,6.34,6.35,7.7,7.55,5.81,3.7,6.51,6.01,5.25,5.69
Mawlamyaing,မော်လမြိုင်,MMR011001,64.68520355,5.77,7.23,7.31,7.55,7.8,4.79,6.18,6.58,7.4,4.79
Paung,ပေါင်,MMR011008,63.78055573,5.68,7.96,6.96,7.7,6.73,4.38,6.07,6.12,6.49,5.98
Ye,ရေး,MMR011006,59.64547348,4.05,6.4,7.17,6.83,6.01,5.04,6.46,5.87,6.78,5.16
Kyauk Taw,ကျောက်တော်,MMR012004,51.28362274,4.51,7.71,6.71,8.26,4.06,3.95,5.93,3.25,5.55,4.4
Sittwe,စစ်တွေ,MMR012001,62.51729202,7.3,7.2,7.32,7.68,6.07,5.01,5.76,5.47,6.12,5.51
Myauk U,မြောက်ဦး,MMR012003,52.26428986,5.84,8.47,6.84,8.13,4.12,3.55,5.98,3.11,5.21,4.64
Taikkyi,တိုက်ကြီး,MMR013005,65.99233246,5.81,6.37,7.53,7.76,6.2,4.24,6.2,6.16,7.65,5.76
Pazuntaung,ပုဇွန်တောင်,MMR013016,66.29107666,5.55,6.83,7.2,7.18,8.24,3.77,6.88,6.67,8.45,4.84
Hlaing Tharyar,လှိုင်သာယာ,MMR013008,61.7156868,5.41,7.09,7.36,7.13,6.42,4.19,5.69,5.94,7.4,4.64
Bahan,ဗဟန်း,MMR013044,62.79948044,4.82,6.82,7.39,6.75,8.57,4.09,6.16,6.58,7.96,4.17
South Dagon,ဒဂုံမြို့သစ်တောင်ပိုင်း,MMR013018,60.30751419,4.49,6.13,7.1,7.19,6.99,4.17,5.68,6,7.57,4.32
North Okkalapa,မြောက်ဥက္ကလာပ,MMR013012,68.76972198,7.42,7.37,7.14,7.75,7.51,4.23,5.72,6.61,7.64,5.88
Kengtung,ကျိုင်းတုံ,MMR016001,58.64800262,6.57,5.64,7.69,8.18,5.73,4.87,5.95,6.12,3.91,5.31
Lashio,လားရှိုး,MMR015001,63.62160492,7.34,6.79,7.83,7.98,6.6,5.64,6.74,5.82,5.71,5.49
Muse,မူဆယ်,MMR015009,63.32598877,6.96,6.03,7.19,7.65,6.99,4.41,6.36,6.37,6.17,5.25
Kunlong,ကွမ်းလုံ,MMR015020,52.72893524,6.56,8.67,8.28,7.15,6.46,4.27,6.74,3.86,3.53,4.71
Taunggyi,တောင်ကြီး,MMR014001,61.44614029,5.89,6.18,6.88,7.78,6.68,5.36,6.09,6.35,5.6,5.46
Theinni,သိန်းနီ,MMR015002,62.34004593,6.98,6.18,8.18,8.37,6.16,6.4,6.23,6.06,4.52,5.7
Maubin,မအူပင်,MMR017019,58.13154602,5.95,6.38,7.69,4.93,4.29,3.9,6.24,4.84,6.85,5.49
Wakema,ဝါးခယ်မ,MMR017017,55.90242386,3.51,7.97,6.56,6.97,4.83,3.63,5.98,5.2,7.14,4.29
Hinthada,ဟင်္သာတ,MMR017008,58.46607971,6.67,7.56,6.03,5.85,5.96,3.71,5.21,6.42,6.29,4.45
Pathein,ပုသိမ်,MMR017001,56.78159714,6.13,8.51,6.82,5.55,6.22,5.26,5.24,5.67,6.27,4.06
Pyapone,ဖျာပုံ,MMR017023,55.13048553,6.84,6.91,6.16,6.17,5.03,3.11,6.36,4.48,6.29,4.53
Lewe,လယ်ဝေး,MMR018007,58.66278458,3.81,7.05,7.62,6.18,5.64,4.5,5.91,6.73,6.4,3.81
Poppa Thiri,ပုဗ္ဗသီရိ,MMR018005,60.13074875,5.28,5.85,7.25,5.69,6.57,4.47,5.88,6.91,6.12,5.08
Pyinmana,ပျဉ်းမနား,MMR018006,61.33260345,6.07,5.52,7.67,6.28,6.92,3.98,5.94,6.36,6.54,4.97
Tedim,တီးတိန်,MMR004004,51.17689514,5.27,5.84,5.54,3.16,3.58,4.61,4.91,6.63,5.45,4.15
Taunggoke,တောင်ကုတ်,MMR012016,58.74427032,5.99,5.73,7.07,7.44,5.14,5.58,5.76,5.03,6.75,4.56
Latha,လသာ,MMR013036,66.5725174,6.24,6.66,7,7.28,8.05,3.92,7.33,6.45,7.86,5.48
Dagon Seikkan,ဒဂုံမြို့သစ်ဆိပ်ကမ်း,MMR013021,65.03288269,6.69,7.37,7.9,7.22,6.16,4.06,6.01,6.27,6.98,5.41
Lanmataw,လမ်းမတော်,MMR013035,67.41703796,6.33,6.78,7.31,7.02,8.57,4.51,7.59,6.72,7.72,5.5
Naung Cho,နောင်ချို,MMR015013,58.16705322,4.96,5.9,7.17,8.41,5.58,4.95,8.28,5.45,5.82,4.46
Momit,မိုးမိတ်,MMR015017,59.75886536,6.15,8.09,7.32,7.59,5.5,5.28,6.83,5.8,5.82,4.52
Pantanaw,ပန်းတနော်,MMR017020,58.79866028,6.45,8.37,7.09,5.46,4.87,3.52,6.19,6.03,5.8,5.19
